--- SESSION METADATA ---
Session ID,ses_f8c874c67de4
Species,cat
Location,
Temp ID,CAT-OFFLINE-999
Coat Color,
Age Hint,
Notes,Captured during offline mode test
Status,closed
Created At,2026-05-28T22:40:39.326137Z

--- TOP RANKED CANDIDATES ---
Name,Score,Uncertainty Flag
ルナ,0.76,True

--- EXPLORATION TRIALS ---
Trial ID,Candidate Name,Voice Type,Modulation,Reaction Type,Gaze Shift,Head Turn,Ear Motion,Approach,Vocalization,Repeatability,Played At
trl_f6081c19e56a,ルナ,female_bright,unknown,reaction_yes,0.83,0.86,0.62,0.52,0.19,0.88,2026-05-28T22:40:39Z
